"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"340057001021",1213,215,127,"bg",0.1971693009,6152.07334236686,10.4699093157461
"340057001022",1548,258,145,"bg",0.3419973414,4526.3509758968,9.36692506459948
"340057001031",1068,197,101,"bg",0.1343709081,7948.14900860226,9.45692883895131
"340057001032",1515,235,121,"bg",0.2179283535,6951.82602753891,7.98679867986799
"340057001041",791,165,99,"bg",0.8289092097,954.266149710509,12.5158027812895
"340057001042",1164,256,122,"bg",0.1378585494,8443.43716850396,10.4810996563574
"340057002001",951,120,151,"bg",0.2626202007,3621.19896894893,15.8780231335436
"340057002002",1785,122,332,"bg",0.399157902,4471.91447559016,18.5994397759104
"340057003031",2179,327,142,"bg",2.2182109092,982.323182598475,6.5167508031207
"340057003032",1463,253,165,"bg",0.9334338156,1567.33126178807,11.2781954887218
"340057003041",889,169,116,"bg",0.2398669416,3706.22143289128,13.0483689538808
"340057003042",1612,161,269,"bg",0.5010006573,3217.56064889698,16.6873449131514
"340057003051",1628,274,153,"bg",0.5363388459,3035.39453173142,9.3980343980344
"340057003052",1180,224,111,"bg",0.260652249,4527.10461746294,9.40677966101695
"340057003053",2356,307,231,"bg",1.1205116208,2102.6109468797,9.80475382003396
"340057003061",678,181,94,"bg",0.1479095046,4583.88392168275,13.8643067846608
"340057003062",1792,207,283,"bg",0.6833143746,2622.51178463647,15.7924107142857
"340057003071",1293,143,214,"bg",0.3111676425,4155.3163741953,16.5506573859242
"340057003072",1461,149,237,"bg",0.4718049336,3096.61874209787,16.2217659137577
"340057004011",757,140,122,"bg",0.3276255411,2310.56466922078,16.116248348745
"340057004012",1373,145,219,"bg",0.3414811257,4020.72002423412,15.9504734158776
"340057004021",1905,209,201,"bg",0.434609604,4383.24414018242,10.5511811023622
"340057004022",1318,226,128,"bg",0.2565070794,5138.25974348527,9.71168437025797
"340057004031",1055,236,95,"bg",0.1617369039,6522.93925851514,9.00473933649289
"340057004032",1494,256,157,"bg",0.2524638402,5917.67913700617,10.5087014725569
"340057004033",935,220,90,"bg",0.2339634726,3996.35032601239,9.62566844919786
"340057004034",1038,199,103,"bg",0.1642519593,6319.55931864491,9.92292870905588
"340057004051",763,187,113,"bg",0.1263033486,6041.01164741407,14.8099606815203
"340057004052",1149,168,173,"bg",0.2484827631,4624.06319724316,15.0565709312446
"340057004071",1412,308,67,"bg",0.382887648,3687.76586911469,4.74504249291785
"340057004072",1406,369,58,"bg",0.054189135,25946.1606095023,4.12517780938834
"340057004073",1413,349,81,"bg",0.267215949,5287.85802377387,5.73248407643312
"340057004074",1049,357,55,"bg",0.1044303975,10044.9679893251,5.24308865586273
"340057004081",1215,190,112,"bg",0.1584604593,7667.5279458817,9.21810699588477
"340057004082",721,143,72,"bg",0.3130641657,2303.04224818535,9.98613037447989
"340057005011",1400,299,78,"bg",0.6196152105,2259.46680500349,5.57142857142857
"340057005012",2441,420,122,"bg",1.0806162939,2258.89616303147,4.99795165915608
"340057005013",1818,365,90,"bg",0.4284991854,4242.71518346742,4.95049504950495
"340057005021",2280,218,331,"bg",2.3282401428,979.280426484707,14.5175438596491
"340057005031",2170,265,191,"bg",0.9802596375,2213.69922517084,8.80184331797235
"340057005032",849,150,93,"bg",0.5217349995,1627.26288405729,10.9540636042403
