"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"42017100102",2976,229,250,"trct",2.937692043,1013.04015412074,8.4005376344086
"42017100103",2395,288,194,"trct",0.6071607828,3944.58941988175,8.10020876826722
"42017100104",4567,421,340,"trct",0.7594181595,6013.81458010815,7.44471206481279
"42017100105",3261,328,320,"trct",1.0285460757,3170.49481500443,9.8129408157007
"42017100201",4512,313,429,"trct",2.5292179341,1783.95065888443,9.50797872340426
"42017100206",5125,378,411,"trct",1.8283028049,2803.14616718007,8.01951219512195
"42017100207",4249,283,419,"trct",1.9901736855,2134.98953933385,9.86114379854083
"42017100208",5889,468,304,"trct",1.6238918124,3626.47311540814,5.16216675157072
"42017100209",8845,474,428,"trct",1.8295865874,4834.42547125879,4.83889202939514
"42017100210",7405,369,416,"trct",2.5350770016,2921.01580951047,5.61782579338285
"42017100211",7251,466,361,"trct",1.1203672194,6471.98514419512,4.97862363811888
"42017100212",3879,179,349,"trct",1.0453815801,3710.60680027377,8.99716421758185
"42017100302",4810,357,456,"trct",2.6554973445,1811.33677650341,9.48024948024948
"42017100303",5053,481,399,"trct",2.3620760163,2139.21989179464,7.89629922818128
"42017100304",2275,310,169,"trct",1.5516725796,1466.15982644126,7.42857142857143
"42017100306",3438,352,319,"trct",0.6065951463,5667.70113636829,9.27865037812682
"42017100307",5091,521,398,"trct",0.8936211141,5697.04533573755,7.8177175407582
"42017100401",6208,504,268,"trct",1.2532609089,4953.47772831184,4.31701030927835
"42017100402",7404,500,344,"trct",1.3177098792,5618.83925807331,4.64613722312264
"42017100403",2318,219,293,"trct",1.5905872125,1457.3234223081,12.6402070750647
"42017100404",6341,545,332,"trct",1.1265448194,5628.71524577001,5.23576722914367
"42017100406",3647,253,348,"trct",1.0942826895,3332.77683636427,9.54208938853852
"42017100407",1075,142,169,"trct",0.2477206017,4339.56640110971,15.7209302325581
"42017100408",6510,566,334,"trct",1.1887876143,5476.16741770423,5.13056835637481
"42017100500",2678,246,243,"trct",0.5642121771,4746.44133659908,9.0739357729649
"42017100600",3639,287,302,"trct",0.4193080749,8678.58316553493,8.29898323715306
"42017100700",3276,259,253,"trct",0.7167460014,4570.65682068833,7.72283272283272
"42017100803",4863,320,420,"trct",1.2042281394,4038.27135481402,8.63664404688464
"42017100804",3928,214,387,"trct",0.9910136808,3963.6183395865,9.85234215885947
"42017100805",6147,620,349,"trct",1.523755233,4034.11247874612,5.67756629250041
"42017100807",4193,432,403,"trct",3.3609869865,1247.55020380678,9.61125685666587
"42017100808",5088,342,340,"trct",3.5416242576,1436.62896736762,6.68238993710692
"42017100809",5353,396,355,"trct",3.0190066335,1773.09978076933,6.6317952549972
"42017100811",4592,265,403,"trct",0.7285193487,6303.19566418401,8.77613240418119
"42017100900",7979,450,494,"trct",3.5103378024,2273.00061963974,6.19125203659607
"42017101100",2823,189,432,"trct",0.4177381923,6757.82117133464,15.3028692879915
"42017101401",4381,214,392,"trct",2.3088455676,1897.48507283402,8.94772882903447
"42017101403",5585,287,301,"trct",1.796789709,3108.32145354857,5.38943598925694
"42017101404",2358,177,349,"trct",1.2193493598,1933.81821300727,14.8006785411366
"42017101405",6698,323,386,"trct",1.3497040557,4962.56936601276,5.76291430277695
"42017101503",3731,187,390,"trct",1.9989192366,1866.50862710498,10.4529616724739
"42017101504",2769,197,291,"trct",0.9970538292,2777.18205266986,10.5092091007584
"42017101505",3278,178,326,"trct",1.8353796318,1786.00652595517,9.9450884685784
"42017101506",5354,238,319,"trct",1.7881124976,2994.21876821851,5.95816212177811
"42017101603",3494,345,276,"trct",0.7830235413,4462.19023530142,7.89925586720092
"42017101605",4222,415,323,"trct",0.822632382,5132.30465075468,7.6504026527712
"42017101607",3124,212,332,"trct",1.0279954971,3038.92381709149,10.6274007682458
"42017101609",4373,219,430,"trct",1.701758916,2569.69419045488,9.83306654470615
"42017101610",4756,214,517,"trct",1.8266290614,2603.70323701891,10.8704793944491
"42017101611",6901,281,423,"trct",1.945048248,3547.98396754218,6.12954644254456
"42017101802",6526,238,647,"trct",5.0512760298,1291.95077867451,9.91418939626111
"42017101803",8308,335,503,"trct",5.5398685914,1499.67456139613,6.05440539239287
"42017101805",2155,100,379,"trct",1.0197916443,2113.17675727695,17.5870069605568
"42017101807",4218,300,385,"trct",1.0971768951,3844.41198027193,9.12754860123281
"42017101808",2572,230,199,"trct",0.9883766178,2602.24691041856,7.73716951788492
