"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"340057001021","Block Group 1, Census Tract 7001.02, Burlington County, New Jersey",1213,215,9,14,"bg",0.00741962077493817,1.1466463440091
"340057001022","Block Group 2, Census Tract 7001.02, Burlington County, New Jersey",1548,258,161,132,"bg",0.104005167958656,8.34908578220953
"340057001031","Block Group 1, Census Tract 7001.03, Burlington County, New Jersey",1068,197,155,156,"bg",0.145131086142322,14.3593292944443
"340057001032","Block Group 2, Census Tract 7001.03, Burlington County, New Jersey",1515,235,29,34,"bg",0.0191419141914191,2.22449574240669
"340057001041","Block Group 1, Census Tract 7001.04, Burlington County, New Jersey",791,165,162,151,"bg",0.20480404551201,18.6055826468682
"340057001042","Block Group 2, Census Tract 7001.04, Burlington County, New Jersey",1164,256,80,56,"bg",0.0687285223367698,4.56737222288576
"340057002001","Block Group 1, Census Tract 7002, Burlington County, New Jersey",951,120,97,86,"bg",0.101997896950578,8.9510565137552
"340057002002","Block Group 2, Census Tract 7002, Burlington County, New Jersey",1785,122,70,51,"bg",0.0392156862745098,2.8445431758262
"340057003031","Block Group 1, Census Tract 7003.03, Burlington County, New Jersey",2179,327,182,120,"bg",0.0835245525470399,5.3625719100598
"340057003032","Block Group 2, Census Tract 7003.03, Burlington County, New Jersey",1463,253,24,29,"bg",0.0164046479835954,1.96182296578917
"340057003041","Block Group 1, Census Tract 7003.04, Burlington County, New Jersey",889,169,163,86,"bg",0.183352080989876,9.02403450952673
"340057003042","Block Group 2, Census Tract 7003.04, Burlington County, New Jersey",1612,161,60,41,"bg",0.0372208436724566,2.51611042988059
"340057003051","Block Group 1, Census Tract 7003.05, Burlington County, New Jersey",1628,274,72,66,"bg",0.0442260442260442,3.98513548555735
"340057003052","Block Group 2, Census Tract 7003.05, Burlington County, New Jersey",1180,224,52,56,"bg",0.0440677966101695,4.67145186191924
"340057003053","Block Group 3, Census Tract 7003.05, Burlington County, New Jersey",2356,307,239,153,"bg",0.101443123938879,6.35810269793299
"340057003061","Block Group 1, Census Tract 7003.06, Burlington County, New Jersey",678,181,0,12,"bg",0,1.76991150442478
"340057003062","Block Group 2, Census Tract 7003.06, Burlington County, New Jersey",1792,207,160,88,"bg",0.0892857142857143,4.80118647703496
"340057003071","Block Group 1, Census Tract 7003.07, Burlington County, New Jersey",1293,143,4,7,"bg",0.00309358081979892,0.540294455419437
"340057003072","Block Group 2, Census Tract 7003.07, Burlington County, New Jersey",1461,149,41,53,"bg",0.028062970568104,3.61634493576934
"340057004011","Block Group 1, Census Tract 7004.01, Burlington County, New Jersey",757,140,52,52,"bg",0.0686922060766182,6.75072455548253
"340057004012","Block Group 2, Census Tract 7004.01, Burlington County, New Jersey",1373,145,76,65,"bg",0.0553532410779315,4.69792836750706
"340057004021","Block Group 1, Census Tract 7004.02, Burlington County, New Jersey",1905,209,122,88,"bg",0.0640419947506562,4.56567628371679
"340057004022","Block Group 2, Census Tract 7004.02, Burlington County, New Jersey",1318,226,68,83,"bg",0.0515933232169954,6.23496936622957
"340057004031","Block Group 1, Census Tract 7004.03, Burlington County, New Jersey",1055,236,154,148,"bg",0.145971563981043,13.6431155339899
"340057004032","Block Group 2, Census Tract 7004.03, Burlington County, New Jersey",1494,256,157,156,"bg",0.105087014725569,10.2853304733443
"340057004033","Block Group 3, Census Tract 7004.03, Burlington County, New Jersey",935,220,0,12,"bg",0,1.28342245989305
"340057004034","Block Group 4, Census Tract 7004.03, Burlington County, New Jersey",1038,199,45,51,"bg",0.0433526011560694,4.84248722970815
"340057004051","Block Group 1, Census Tract 7004.05, Burlington County, New Jersey",763,187,94,147,"bg",0.123197903014417,19.0279823380934
"340057004052","Block Group 2, Census Tract 7004.05, Burlington County, New Jersey",1149,168,73,46,"bg",0.0635335073977372,3.89421562490409
"340057004071","Block Group 1, Census Tract 7004.07, Burlington County, New Jersey",1412,308,153,115,"bg",0.108356940509915,7.79396655372837
"340057004072","Block Group 2, Census Tract 7004.07, Burlington County, New Jersey",1406,369,266,207,"bg",0.189189189189189,13.8600931068016
"340057004073","Block Group 3, Census Tract 7004.07, Burlington County, New Jersey",1413,349,177,160,"bg",0.125265392781316,10.8925381427278
"340057004074","Block Group 4, Census Tract 7004.07, Burlington County, New Jersey",1049,357,387,313,"bg",0.368922783603432,27.0678102685764
"340057004081","Block Group 1, Census Tract 7004.08, Burlington County, New Jersey",1215,190,172,104,"bg",0.14156378600823,8.26844931765431
"340057004082","Block Group 2, Census Tract 7004.08, Burlington County, New Jersey",721,143,69,70,"bg",0.0957004160887656,9.52139074951893
"340057005011","Block Group 1, Census Tract 7005.01, Burlington County, New Jersey",1400,299,24,38,"bg",0.0171428571428571,2.68947974358029
"340057005012","Block Group 2, Census Tract 7005.01, Burlington County, New Jersey",2441,420,53,59,"bg",0.0217124129455141,2.38799646447757
"340057005013","Block Group 3, Census Tract 7005.01, Burlington County, New Jersey",1818,365,57,65,"bg",0.0313531353135314,3.51950849406259
"340057005021","Block Group 1, Census Tract 7005.02, Burlington County, New Jersey",2280,218,12,13,"bg",0.00526315789473684,0.567950357601388
"340057005031","Block Group 1, Census Tract 7005.03, Burlington County, New Jersey",2170,265,37,55,"bg",0.0170506912442396,2.52599463623583
"340057005032","Block Group 2, Census Tract 7005.03, Burlington County, New Jersey",849,150,0,12,"bg",0,1.41342756183746
"340057005033","Block Group 3, Census Tract 7005.03, Burlington County, New Jersey",652,181,11,17,"bg",0.0168711656441718,2.56495206275658
"340057005041","Block Group 1, Census Tract 7005.04, Burlington County, New Jersey",1735,235,31,32,"bg",0.0178674351585014,1.82843401973482
"340057005042","Block Group 2, Census Tract 7005.04, Burlington County, New Jersey",1242,269,3,9,"bg",0.00241545893719807,0.722746745331117
"340057005051","Block Group 1, Census Tract 7005.05, Burlington County, New Jersey",3569,428,0,12,"bg",0,0.336228635472121
"340057005052","Block Group 2, Census Tract 7005.05, Burlington County, New Jersey",2459,376,0,12,"bg",0,0.488003253355022
"340057006021","Block Group 1, Census Tract 7006.02, Burlington County, New Jersey",846,264,0,12,"bg",0,1.41843971631206
"340057006022","Block Group 2, Census Tract 7006.02, Burlington County, New Jersey",866,247,0,12,"bg",0,1.38568129330254
"340057006023","Block Group 3, Census Tract 7006.02, Burlington County, New Jersey",4510,408,78,63,"bg",0.0172949002217295,1.38810600958594
"340057006031","Block Group 1, Census Tract 7006.03, Burlington County, New Jersey",1217,377,0,12,"bg",0,0.986031224322103
"340057006032","Block Group 2, Census Tract 7006.03, Burlington County, New Jersey",2697,467,110,112,"bg",0.0407860585836114,4.09226962383357
"340057006033","Block Group 3, Census Tract 7006.03, Burlington County, New Jersey",2048,574,484,403,"bg",0.236328125,18.5294494291383
"340057006051","Block Group 1, Census Tract 7006.05, Burlington County, New Jersey",1251,178,11,15,"bg",0.008792965627498,1.19249562434505
"340057006052","Block Group 2, Census Tract 7006.05, Burlington County, New Jersey",2082,266,0,12,"bg",0,0.576368876080692
