"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"42017100102","Census Tract 1001.02, Bucks County, Pennsylvania",2976,229,118,72,"trct",0.0396505376344086,2.40003912131125
"42017100103","Census Tract 1001.03, Bucks County, Pennsylvania",2395,288,161,108,"trct",0.067223382045929,4.43634826790795
"42017100104","Census Tract 1001.04, Bucks County, Pennsylvania",4567,421,666,299,"trct",0.145828771622509,6.40746869680001
"42017100105","Census Tract 1001.05, Bucks County, Pennsylvania",3261,328,248,259,"trct",0.0760502913216805,7.90542745729117
"42017100201","Census Tract 1002.01, Bucks County, Pennsylvania",4512,313,173,143,"trct",0.0383421985815603,3.15814540429907
"42017100206","Census Tract 1002.06, Bucks County, Pennsylvania",5125,378,360,215,"trct",0.0702439024390244,4.16300723840813
"42017100207","Census Tract 1002.07, Bucks County, Pennsylvania",4249,283,204,137,"trct",0.0480112967757119,3.2083918303502
"42017100208","Census Tract 1002.08, Bucks County, Pennsylvania",5889,468,1334,435,"trct",0.226524027848531,7.16393441471734
"42017100209","Census Tract 1002.09, Bucks County, Pennsylvania",8845,474,611,280,"trct",0.0690785754663652,3.14391079167496
"42017100210","Census Tract 1002.10, Bucks County, Pennsylvania",7405,369,404,148,"trct",0.0545577312626604,1.98007273209207
"42017100211","Census Tract 1002.11, Bucks County, Pennsylvania",7251,466,320,337,"trct",0.0441318438836023,4.63897271128557
"42017100212","Census Tract 1002.12, Bucks County, Pennsylvania",3879,179,342,245,"trct",0.0881670533642691,6.30294324975921
"42017100302","Census Tract 1003.02, Bucks County, Pennsylvania",4810,357,363,287,"trct",0.0754677754677755,5.94038706391097
"42017100303","Census Tract 1003.03, Bucks County, Pennsylvania",5053,481,998,338,"trct",0.19750643182268,6.41944605891142
"42017100304","Census Tract 1003.04, Bucks County, Pennsylvania",2275,310,183,131,"trct",0.0804395604395604,5.6529562196905
"42017100306","Census Tract 1003.06, Bucks County, Pennsylvania",3438,352,216,139,"trct",0.06282722513089,3.99154851829591
"42017100307","Census Tract 1003.07, Bucks County, Pennsylvania",5091,521,799,364,"trct",0.156943626006678,6.96714066230419
"42017100401","Census Tract 1004.01, Bucks County, Pennsylvania",6208,504,880,273,"trct",0.141752577319588,4.24429715576347
"42017100402","Census Tract 1004.02, Bucks County, Pennsylvania",7404,500,614,195,"trct",0.0829281469475959,2.57348226894417
"42017100403","Census Tract 1004.03, Bucks County, Pennsylvania",2318,219,251,171,"trct",0.108283002588438,7.30576838390089
"42017100404","Census Tract 1004.04, Bucks County, Pennsylvania",6341,545,429,134,"trct",0.0676549440151396,2.03165506298032
"42017100406","Census Tract 1004.06, Bucks County, Pennsylvania",3647,253,105,68,"trct",0.0287907869481766,1.85381805685112
"42017100407","Census Tract 1004.07, Bucks County, Pennsylvania",1075,142,21,28,"trct",0.0195348837209302,2.59183755482582
"42017100408","Census Tract 1004.08, Bucks County, Pennsylvania",6510,566,291,203,"trct",0.0447004608294931,3.09396613818961
"42017100500","Census Tract 1005, Bucks County, Pennsylvania",2678,246,174,115,"trct",0.0649738610903659,4.25256999836425
"42017100600","Census Tract 1006, Bucks County, Pennsylvania",3639,287,824,288,"trct",0.226435834020335,7.71014169990258
"42017100700","Census Tract 1007, Bucks County, Pennsylvania",3276,259,545,167,"trct",0.166361416361416,4.92508461488627
"42017100803","Census Tract 1008.03, Bucks County, Pennsylvania",4863,320,587,348,"trct",0.120707382274316,7.11185861205453
"42017100804","Census Tract 1008.04, Bucks County, Pennsylvania",3928,214,239,189,"trct",0.0608452138492872,4.80017666805619
"42017100805","Census Tract 1008.05, Bucks County, Pennsylvania",6147,620,56,94,"trct",0.00911013502521555,1.52643808619317
"42017100807","Census Tract 1008.07, Bucks County, Pennsylvania",4193,432,281,160,"trct",0.0670164559980921,3.75289605032032
"42017100808","Census Tract 1008.08, Bucks County, Pennsylvania",5088,342,351,213,"trct",0.0689858490566038,4.16056028304636
"42017100809","Census Tract 1008.09, Bucks County, Pennsylvania",5353,396,301,258,"trct",0.0562301513170185,4.80174298016443
"42017100811","Census Tract 1008.11, Bucks County, Pennsylvania",4592,265,106,83,"trct",0.0230836236933798,1.80257564198373
"42017100900","Census Tract 1009, Bucks County, Pennsylvania",7979,450,87,97,"trct",0.0109036220077704,1.21413488519063
"42017101100","Census Tract 1011, Bucks County, Pennsylvania",2823,189,232,121,"trct",0.0821820758058803,4.2507592641041
